image_path,sid,dup_flag,board_pixels,rock_pixels,rock_area_cm2,ground_truth_cm2,direction_error,abs_error,pct_error,chosen_color
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20920_GrassyHillBrook_Rocks_062625_iPad.jpg,20920,0,9788935,3369015,479.6105020192697,354.189075015992,overestimate,125.4214270032777,35.410868332857184,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20921_IvyMountainBrook_Rocks_070125_MCiPhone.JPG,20921,0,9609777,1932510,280.2396775134324,222.899915027271,overestimate,57.33976248616142,25.724443402836698,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20921_IvyMountainBrook_Rocks_070125_iPad.jpg,20921,0,10052626,1994440,276.4793086367681,222.899915027271,overestimate,53.57939360949712,24.03742217799494,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20922_KettleCreek_Rocks_063025_MCiPhone.JPG,20922,0,10058569,2524381,349.73563687574244,322.933897008067,overestimate,26.80173986767545,8.299450790390683,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20922_KettleCreek_Rocks_063025_iPad.jpg,20922,0,9844185,2452844,347.22528718084834,322.933897008067,overestimate,24.291390172781348,7.52209365379025,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20923_LyonBrook_Rocks_070825_MCiPhone.JPG,20923,0,9805981,3418978,485.87711401814875,436.244800008943,overestimate,49.63231400920574,11.377170342933207,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20924_HempSwampBrookNNT_Rocks_062525_MCiPhone.JPG,20924,0,9930402,3555794,498.9889717663393,461.928024277294,overestimate,37.060947489045304,8.02310003750665,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20924_HempSwampBrookNNT_Rocks_062525_iPad.jpg,20924,0,10420591,3636497,486.30873179488566,461.928024277294,overestimate,24.380707517591645,5.2780316924344,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20925_ShepaugRiver_Rocks_070925_MCiPhone.JPG,20925,0,9849424,2750341,389.13195320351724,283.211961169304,overestimate,105.91999203421324,37.3995475321377,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20926_WilliamsBrook_Rocks_062625_MCiPhone.JPG,20926,0,10109077,3519333,485.14330409045255,374.583296320606,overestimate,110.56000776984655,29.515466614725444,green
/home/deepuser/Documents/OneDrive_1_9-25-2025/Surface Area Photos/20926_WilliamsBrook_Rocks_062625_iPad.jpg,20926,0,10196084,3461256,473.0657445813118,374.583296320606,overestimate,98.48244826070578,26.29120124363864,green
